iter	RMSE
0	17.59987957
1	15.84139598
2	14.25883971
3	12.83455182
4	11.55258553
5	10.39883401
6	9.360661469
7	8.426447814
8	7.585864321
9	6.829285428
10	6.14882409
11	5.536353909
12	4.985427562
13	4.489728222
14	4.04418768
15	3.643158938
16	3.282883539
17	2.958704052
18	2.66750037
19	2.405964167
20	2.171015624
21	1.960162367
22	1.771291805
23	1.601548733
24	1.449459634
25	1.31349096
26	1.191915862
27	1.083264347
28	0.9867474687
29	0.9008291346
30	0.8244984946
31	0.7569998132
32	0.697698181
33	0.6456188715
34	0.599980227
35	0.5601720766
36	0.5258615049
37	0.4959432899
38	0.4704610279
39	0.4482519424
40	0.4294610127
41	0.4132028778
42	0.3996195689
43	0.3882086709
44	0.3786257982
45	0.3704222796
46	0.3636866508
47	0.3583075797
48	0.35332688
49	0.3492214068
50	0.3458867491
51	0.3428103275
52	0.3404516991
53	0.3383175228
54	0.336753056
55	0.3352652449
56	0.3340034958
57	0.3328368568
58	0.3316563611
59	0.3307382372
60	0.3299800098
61	0.3291914197
62	0.3284808599
63	0.3277620224
64	0.3271828923
65	0.3266776473
66	0.3261931596
67	0.3258001373
68	0.3254197564
69	0.3250667925
70	0.3247614549
71	0.3241888143
72	0.323902533
73	0.3235529169
74	0.3231361722
75	0.3227952017
76	0.3223093433
77	0.3219860393
78	0.3217383587
79	0.3214689602
80	0.3212314626
81	0.3209125401
82	0.3207176877
83	0.3204450627
84	0.3203084365
85	0.3201610897
86	0.3199487677
87	0.3197153598
88	0.3194252942
89	0.3192665575
90	0.3189371315
91	0.3187300332
92	0.3185544101
93	0.3183540858
94	0.3182356017
95	0.3180888735
96	0.3178018338
97	0.3176440639
98	0.3173738222
99	0.3172302033
100	0.317087331
101	0.3168809451
102	0.3166964746
103	0.3164937072
104	0.3163693434
105	0.3162140292
106	0.3160954435
107	0.3158920058
108	0.3157605459
109	0.3155971084
110	0.3154972059
111	0.3153659275
112	0.3152656348
113	0.3151190072
114	0.3149267918
115	0.3147714662
116	0.3146421695
117	0.3145162257
118	0.3144303865
119	0.3143071209
120	0.3140703626
121	0.3139685362
122	0.3138554418
123	0.313733043
124	0.3135380166
125	0.3134562562
126	0.3133408937
127	0.3132277903
128	0.313130935
129	0.3130017957
130	0.3128696584
131	0.3126670979
132	0.3125719279
133	0.3124792631
134	0.3123545887
135	0.3122800756
136	0.3121981981
137	0.3120475202
138	0.3119695223
139	0.3118107871
140	0.3116856719
141	0.3115919829
142	0.3114796874
143	0.3112937269
144	0.3111192671
145	0.3110420279
146	0.3109222281
147	0.3108329797
148	0.3106954112
149	0.3106412708
150	0.3105264003
151	0.3104044034
152	0.3103281585
153	0.3102566338
154	0.3101276986
155	0.3100015599
156	0.3098938648
157	0.3097978386
158	0.3097287438
159	0.3096343278
160	0.30954022
161	0.3094647706
162	0.3093705948
163	0.3093089122
164	0.309224124
165	0.3091402837
166	0.3090524543
167	0.3089980759
168	0.3088333018
169	0.3087458949
170	0.3086843444
171	0.3086275814
172	0.3085039163
173	0.3084138704
174	0.3083596134
175	0.3082595018
176	0.3081831585
177	0.3080762736
178	0.3080100621
179	0.3079284362
180	0.3078865128
181	0.3078272563
182	0.3077787571
183	0.3077324469
184	0.3076647072
185	0.3075773037
186	0.3074940247
187	0.3074260914
188	0.3073775468
189	0.3073282013
190	0.307242695
191	0.3071597748
192	0.3070031896
193	0.306853517
194	0.306721726
195	0.3066399848
196	0.306593876
197	0.3065011929
198	0.3063531372
199	0.3063029471
200	0.3062153091
201	0.3061575957
202	0.3060964066
203	0.3060591108
204	0.3060345961
205	0.3059886806
206	0.3058735357
207	0.3057624799
208	0.3057278053
209	0.3056086973
210	0.305517063
211	0.3054582928
212	0.3053350507
213	0.3052593539
214	0.3051992548
215	0.3051107652
216	0.3050616337
217	0.3050252396
218	0.3049844823
219	0.3048593405
220	0.3048069192
221	0.3047654294
222	0.3046787748
223	0.3046480579
224	0.3045763652
225	0.3045316587
226	0.3044109215
227	0.304370296
228	0.3043178078
229	0.3041589219
230	0.3040686578
231	0.3040495273
232	0.3040114549
233	0.3039204603
234	0.3038176239
235	0.3037805316
236	0.3037212319
237	0.3036851268
238	0.3036574475
239	0.3035742274
240	0.3035129009
241	0.3034212632
242	0.3033248839
243	0.3032184316
244	0.3031510908
245	0.3030863887
246	0.3029923843
247	0.3028848694
248	0.3028059026
249	0.302739953
250	0.3026968316
251	0.3026151963
252	0.3025642567
253	0.3025049341
254	0.3024693272
255	0.3024158516
256	0.3023663553
257	0.3023240886
258	0.3022415474
259	0.3021751577
260	0.3021538992
261	0.3021346869
262	0.3020938114
263	0.3019708168
264	0.3019304022
265	0.3018544936
266	0.3018031268
267	0.3017361652
268	0.3016808613
269	0.3015969954
270	0.301578894
271	0.301506487
272	0.3014442387
273	0.3013822766
274	0.3013117065
275	0.3012621404
276	0.3011825937
277	0.3011477594
278	0.301089053
279	0.3010485036
280	0.3009644249
281	0.3009101993
282	0.3008675255
283	0.3008431453
284	0.3007473181
285	0.3006999191
286	0.3006217014
287	0.3005988672
288	0.3005635313
289	0.3004841533
290	0.3004315813
291	0.3003448163
292	0.3003111242
293	0.3002199268
294	0.3001762472
295	0.3001477777
296	0.3000688993
297	0.3000322504
298	0.2999802211
299	0.2999174175
300	0.2998325071
301	0.2997627954
302	0.2997056111
303	0.2996370532
304	0.299569902
305	0.2995248202
306	0.2994696321
307	0.2993865835
308	0.2993504278
309	0.2993179323
310	0.2992821543
311	0.2992399111
312	0.2991351857
313	0.2990906562
314	0.2990312719
315	0.2989798876
316	0.2989271283
317	0.2988904923
318	0.2988305546
319	0.2988070397
320	0.2987577832
321	0.2986877185
322	0.2986074794
323	0.2985517344
324	0.2985321847
325	0.2984806419
326	0.298410767
327	0.2983556075
328	0.2983142106
329	0.2982633123
330	0.2982020847
331	0.2981092629
332	0.2980681422
333	0.2980398752
334	0.2980177431
335	0.2979221011
336	0.297848936
337	0.2978264597
338	0.2977973941
339	0.2977520717
340	0.2976873852
341	0.2976049652
342	0.2975485097
343	0.2974988198
344	0.2974492683
